country,pollutant_name,prev_aqi,aqi_category,count
GERMANY,PM10,Poor,Poor,1008
GERMANY,PM10,Fair,Good,48698
GERMANY,PM10,Good,Fair,48713
GERMANY,PM10,Very Poor,Poor,90
GERMANY,PM10,Poor,Moderate,2336
GERMANY,PM10,Very Poor,Very Poor,46
GERMANY,PM10,Good,Poor,79
GERMANY,PM10,Moderate,Extremely Poor,30
GERMANY,PM10,Very Poor,Good,14
GERMANY,PM10,Fair,Extremely Poor,7
GERMANY,PM10,Extremely Poor,Very Poor,13
GERMANY,PM10,Extremely Poor,Poor,11
GERMANY,PM10,Poor,Extremely Poor,16
GERMANY,PM10,Extremely Poor,Extremely Poor,19
GERMANY,PM10,Good,Very Poor,15
GERMANY,PM10,Extremely Poor,Good,5
GERMANY,PM2.5,Moderate,Poor,5943
GERMANY,PM2.5,Poor,Extremely Poor,46
GERMANY,PM2.5,Extremely Poor,Moderate,35
GERMANY,PM2.5,Moderate,Extremely Poor,36
GERMANY,PM2.5,Moderate,Moderate,110992
GERMANY,PM2.5,Poor,Fair,697
GERMANY,PM2.5,Fair,Fair,79928
GERMANY,PM2.5,Fair,Moderate,35029
GERMANY,PM2.5,Moderate,Fair,35030
GERMANY,PM2.5,Extremely Poor,Poor,48
GERMANY,PM2.5,Poor,Moderate,5913
GERMANY,PM2.5,Poor,Very Poor,673
GERMANY,PM2.5,Very Poor,Moderate,330
GERMANY,PM2.5,Fair,Poor,699
GERMANY,PM2.5,Poor,Poor,5420
GERMANY,PM2.5,Fair,Extremely Poor,14
GERMANY,PM2.5,Extremely Poor,Extremely Poor,43
GERMANY,PM2.5,Very Poor,Poor,637
GERMANY,PM2.5,Fair,Very Poor,71
GERMANY,PM2.5,Very Poor,Extremely Poor,58
GERMANY,PM2.5,Extremely Poor,Fair,15
GERMANY,PM2.5,Fair,Good,6845
GERMANY,PM2.5,Good,Very Poor,12
GERMANY,PM2.5,Very Poor,Fair,79
GERMANY,PM2.5,Good,Moderate,1864
GERMANY,PM2.5,Good,Fair,6838
GERMANY,PM2.5,Moderate,Good,1850
GERMANY,PM2.5,Good,Good,2664
GERMANY,PM2.5,Good,Poor,117
GERMANY,PM2.5,Very Poor,Very Poor,533
GERMANY,PM2.5,Moderate,Very Poor,313
GERMANY,PM2.5,Extremely Poor,Very Poor,56
GERMANY,PM2.5,Very Poor,Good,21
GERMANY,PM2.5,Poor,Good,115
GERMANY,PM2.5,Good,Extremely Poor,6
GERMANY,PM2.5,Extremely Poor,Good,6
ITALY,PM10,Moderate,Very Poor,2820
ITALY,PM10,Very Poor,Moderate,2675
ITALY,PM10,Very Poor,Fair,1471
ITALY,PM10,Fair,Fair,623919
ITALY,PM10,Fair,Poor,13478
ITALY,PM10,Poor,Poor,10284
ITALY,PM10,Poor,Fair,13681
ITALY,PM10,Fair,Moderate,243800
ITALY,PM10,Very Poor,Poor,1355
ITALY,PM10,Poor,Moderate,26560
ITALY,PM10,Moderate,Poor,26654
ITALY,PM10,Poor,Extremely Poor,295
ITALY,PM10,Extremely Poor,Moderate,663
ITALY,PM10,Moderate,Good,26801
ITALY,PM10,Good,Fair,87332
ITALY,PM10,Moderate,Moderate,276806
ITALY,PM10,Moderate,Fair,243528
ITALY,PM10,Very Poor,Very Poor,552
ITALY,PM10,Poor,Very Poor,1333
ITALY,PM10,Moderate,Extremely Poor,657
ITALY,PM10,Very Poor,Good,239
ITALY,PM10,Good,Moderate,26761
ITALY,PM10,Extremely Poor,Fair,440
ITALY,PM10,Fair,Good,87307
ITALY,PM10,Extremely Poor,Poor,313
ITALY,PM10,Good,Poor,2031
ITALY,PM10,Fair,Extremely Poor,454
ITALY,PM10,Fair,Very Poor,1413
ITALY,PM10,Very Poor,Extremely Poor,152
ITALY,PM10,Poor,Good,1962
ITALY,PM10,Good,Very Poor,187
ITALY,PM10,Good,Good,27533
ITALY,PM10,Good,Extremely Poor,88
ITALY,PM10,Extremely Poor,Very Poor,139
ITALY,PM10,Extremely Poor,Extremely Poor,121
ITALY,PM10,Extremely Poor,Good,91
SPAIN,PM2.5,Moderate,Moderate,94364
SPAIN,PM2.5,Moderate,Fair,38516
SPAIN,PM2.5,Fair,Fair,31840
SPAIN,PM2.5,Fair,Good,4359
SPAIN,PM2.5,Good,Good,1050
SPAIN,PM2.5,Good,Moderate,3826
