country,pollutant_name,month_num,avg_concentration,n_measurements
SWEDEN,PM2.5,12,3.8848429829683698296837,1644
UK,PM10,1,17.3521233279158699808795,1046
UK,PM10,2,17.9532365492385786802030,985
UK,PM10,3,20.1131553134423251589464,1101
UK,PM10,4,17.6876897196261682242991,1070
UK,PM10,5,15.4267566331198536139067,1093
UK,PM10,6,15.2366712328767123287671,1022
UK,PM10,7,15.5501028846153846153846,1040
UK,PM10,8,14.2548370786516853932584,1068
UK,PM10,9,15.3027326454033771106942,1066
UK,PM10,10,15.5176279069767441860465,989
UK,PM10,11,15.7822315680166147455867,963
UK,PM10,12,16.7357355623100303951368,987
UK,PM2.5,1,9.0566178217821782178218,1515
UK,PM2.5,2,8.7014791506949524506218,1367
UK,PM2.5,3,10.1287715525143678160920,1392
UK,PM2.5,4,8.5588435993079584775087,1445
UK,PM2.5,5,7.4941201048169556840077,1557
UK,PM2.5,6,6.6170288461538461538462,1456
UK,PM2.5,7,6.2721436509368494101319,1441
UK,PM2.5,8,6.0178997216573816155989,1436
UK,PM2.5,9,7.8781618579169598874032,1421
UK,PM2.5,10,7.9850265233691756272401,1395
UK,PM2.5,11,9.0821203125000000000000,1280
UK,PM2.5,12,8.7452299392746913580247,1296
