country,pollutant_name,season_4,aqi_category,days,total_days,percentage,aqi_numeric_order
CZECH,PM10,Spring,Fair,23841,38673,61.64766115894811,2
CZECH,PM10,Spring,Good,5388,38673,13.93220076022031,1
CZECH,PM10,Spring,Extremely Poor,8,38673,0.020686266904558735,6
CZECH,PM10,Summer,Very Poor,4,38735,0.01032657803020524,5
CZECH,PM10,Summer,Fair,30828,38735,79.58693687879179,2
CZECH,PM10,Summer,Good,4543,38735,11.728410997805602,1
CZECH,PM10,Summer,Extremely Poor,1,38735,0.00258164450755131,6
CZECH,PM10,Summer,Moderate,3345,38735,8.635600877759133,3
CZECH,PM10,Summer,Poor,14,38735,0.03614302310571834,4
CZECH,PM10,Winter,Very Poor,198,37196,0.5323153027207227,5
CZECH,PM10,Winter,Fair,15850,37196,42.61210882890634,2
CZECH,PM10,Winter,Good,7854,37196,21.115173674588668,1
CZECH,PM10,Winter,Moderate,11927,37196,32.06527583611141,3
CZECH,PM10,Winter,Poor,1304,37196,3.5057533068071836,4
CZECH,PM10,Winter,Extremely Poor,63,37196,0.16937305086568447,6
CZECH,PM2.5,Autumn,Very Poor,105,12804,0.8200562324273665,5
CZECH,PM2.5,Autumn,Extremely Poor,24,12804,0.18744142455482662,6
CZECH,PM2.5,Autumn,Good,646,12804,5.045298344267416,1
CZECH,PM2.5,Autumn,Moderate,7486,12804,58.466104342393,3
CZECH,PM2.5,Autumn,Fair,3425,12804,26.74945329584505,2
CZECH,PM2.5,Autumn,Poor,1118,12804,8.73164636051234,4
CZECH,PM2.5,Spring,Good,318,12947,2.4561674519193635,1
CZECH,PM2.5,Spring,Moderate,8216,12947,63.4587163049355,3
CZECH,PM2.5,Spring,Extremely Poor,21,12947,0.16219973739090135,6
CZECH,PM2.5,Spring,Fair,2976,12947,22.98601992739631,2
CZECH,PM2.5,Spring,Poor,1229,12947,9.492546535877038,4
CZECH,PM2.5,Spring,Very Poor,187,12947,1.4443500424808835,5
CZECH,PM2.5,Summer,Good,252,12776,1.9724483406386977,1
CZECH,PM2.5,Summer,Poor,73,12776,0.5713838447088291,4
CZECH,PM2.5,Summer,Moderate,7961,12776,62.312147777082025,3
CZECH,PM2.5,Summer,Fair,4490,12776,35.14402003757044,2
CZECH,PM2.5,Winter,Fair,2754,12519,21.998562185478075,2
CZECH,PM2.5,Winter,Good,790,12519,6.310408179567058,1
CZECH,PM2.5,Winter,Very Poor,639,12519,5.104241552839683,5
CZECH,PM2.5,Winter,Extremely Poor,258,12519,2.0608674814282293,6
CZECH,PM2.5,Winter,Moderate,5797,12519,46.30561546449397,3
CZECH,PM2.5,Winter,Poor,2281,12519,18.220305136192987,4
GERMANY,PM10,Autumn,Very Poor,4,148699,0.0026899979152516153,5
GERMANY,PM10,Autumn,Fair,93701,148699,63.01387366424791,2
GERMANY,PM10,Autumn,Good,26264,148699,17.66252631154211,1
GERMANY,PM10,Autumn,Poor,172,148699,0.11566991035581947,4
GERMANY,PM10,Autumn,Extremely Poor,3,148699,0.002017498436438712,6
GERMANY,PM10,Autumn,Moderate,28555,148699,19.203222617502473,3
GERMANY,PM10,Spring,Very Poor,111,157031,0.07068667970018659,5
GERMANY,PM10,Spring,Good,24299,157031,15.474014684998503,1
GERMANY,PM10,Spring,Extremely Poor,17,157031,0.01082588788201056,6
GERMANY,PM10,Spring,Poor,1481,157031,0.9431258796033903,4
GERMANY,PM10,Spring,Moderate,36476,157031,23.228534493189244,3
GERMANY,PM10,Spring,Fair,94647,157031,60.27281237462666,2
GERMANY,PM10,Summer,Extremely Poor,4,152834,0.00261721868170695,6
GERMANY,PM10,Summer,Fair,120882,152834,79.09365717052488,2
GERMANY,PM10,Summer,Moderate,14508,152834,9.492652158551108,3
GERMANY,PM10,Summer,Good,17397,152834,11.382938351413953,1
GERMANY,PM10,Summer,Poor,39,152834,0.025517882146642766,4
GERMANY,PM10,Summer,Very Poor,4,152834,0.00261721868170695,5
GERMANY,PM10,Winter,Poor,2289,150041,1.5255830073113348,4
GERMANY,PM10,Winter,Extremely Poor,66,150041,0.04398797661972394,6
GERMANY,PM10,Winter,Fair,75767,150041,50.49753067494884,2
GERMANY,PM10,Winter,Moderate,37974,150041,25.309082184202985,3
GERMANY,PM10,Winter,Very Poor,245,150041,0.16328870108836918,5
GERMANY,PM10,Winter,Good,33700,150041,22.460527455828743,1
GERMANY,PM2.5,Autumn,Good,3381,74164,4.558815597864193,1
GERMANY,PM2.5,Autumn,Moderate,37647,74164,50.76182514427485,3
